コード,銘柄名,前日比(%),終値(円),当日出来高,25日平均出来高
142A,ジンジブ,6.24,800,"46,700","16,600"
150A,ＪＳＨ,5.00,357,"5,300","3,550"
155A,情報戦略テクノロジー,20.30,889,"217,900","37,720"
1711,ＳＤＳホールディングス,5.56,266,"359,400","75,780"
1736,オーテック,11.63,2515,"37,700","5,220"
1860,戸田建設,8.32,1492,"2,468,900","892,950"
1926,ライト工業,8.05,4095,"490,800","150,450"
1963,日揮ホールディングス,13.29,2710,"6,228,100","2,310,970"
1975,朝日工業社,12.48,4145,"395,400","112,800"
1979,大氣社,6.87,3735,"567,300","192,060"
2130,メンバーズ,6.86,1169,"554,100","108,570"
2179,成学社,7.19,790,"6,800","1,740"
2326,デジタルアーツ,5.21,4240,"376,800","315,610"
2475,ＷＤＢホールディングス,14.75,1704,"205,200","16,150"
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,13.50,12190,"2,123,900","1,968,460"
281A,インフォメティス,6.84,765,"831,600","610,550"
2820,やまみ,7.32,3810,"33,900","21,200"
2874,横浜冷凍,15.02,1983,"440,700","165,360"
300A,ＭＩＣ,13.29,2950,"101,600","24,090"
3034,クオールホールディングス,12.54,1930,"574,400","142,730"
3106,倉敷紡績,14.02,11550,"110,700","40,450"
3156,レスター,12.50,3465,"261,700","68,550"
3182,オイシックス・ラ・大地,7.70,1510,"274,500","113,410"
3277,サンセイランディック,5.08,1385,"18,300","8,980"
3350,メタプラネット,6.15,328,"49,529,000","33,530,250"
336A,ダイナミックマッププラットフォーム,8.89,747,"1,174,800","160,580"
3465,ケイアイスター不動産,13.82,3500,"392,000","142,460"
3551,ダイニック,25.41,1298,"255,300","12,880"
3611,マツオカコーポレーション,13.48,2366,"210,500","36,740"
3656,ＫＬａｂ,15.55,275,"24,671,600","10,549,060"
366A,ウェルネス・コミュニケーションズ,16.18,1077,"289,100","44,580"
3683,サイバーリンクス,8.55,1066,"194,900","20,130"
3687,フィックスターズ,13.68,1554,"1,654,600","394,520"
3723,日本ファルコム,5.13,2520,"34,700","20,250"
378A,ヒット,8.67,2456,"75,900","40,040"
3803,イメージ情報開発,6.21,599,"113,600","26,390"
3810,サイバーステップホールディングス,8.70,375,"8,538,400","6,215,700"
3853,アステリア,8.70,1524,"1,235,800","552,680"
3864,三菱製紙,8.73,1009,"730,100","248,040"
3907,シリコンスタジオ,9.43,952,"1,333,100","28,160"
