Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,非鉄金属,鉄鋼・非鉄,98,21.32,33
2,A,銀行業,銀行,96,19.68,79
3,A,電気機器,電機・精密,92,15.69,227
4,A,鉱業,エネルギー資源,90,15.27,5
5,A,精密機器,電機・精密,86,10.92,51
6,A,海運業,運輸・物流,84,10.43,11
7,A,ガラス･土石製品,建設・資材,80,10.04,50
8,B,石油･石炭製品,エネルギー資源,78,9.15,9
9,B,建設業,建設・資材,74,8.13,143
10,B,機械,機械,72,7.78,211
11,B,保険業,金融（除く銀行）,68,7.1,13
12,B,倉庫･運輸関連業,運輸・物流,66,6.59,31
13,B,輸送用機器,自動車・輸送機,62,6.56,85
14,B,化学,素材・化学,60,6.53,203
15,C,証券･商品先物取引業,金融（除く銀行）,56,6.11,36
16,C,電気･ガス業,電気・ガス,54,5.12,28
17,C,繊維製品,素材・化学,50,5.08,47
18,C,鉄鋼,鉄鋼・非鉄,48,4.5,38
19,C,金属製品,建設・資材,44,4.08,86
20,C,卸売業,商社・卸売,42,3.92,289
21,D,ゴム製品,自動車・輸送機,38,3.84,17
22,D,その他金融業,金融（除く銀行）,36,3.35,38
23,D,不動産業,不動産,32,2.33,131
24,D,パルプ・紙,素材・化学,30,2.32,24
25,D,陸運業,運輸・物流,26,2.0,57
26,D,その他製品,情報通信・サービスその他,24,1.81,105
27,D,水産・農林業,食品,20,1.05,12
28,E,サービス業,情報通信・サービスその他,18,0.25,528
29,E,食料品,食品,14,0.11,123
30,E,医薬品,医薬品,12,-0.27,80
31,E,小売業,小売,8,-0.37,325
32,E,情報･通信業,情報通信・サービスその他,6,-0.83,593
33,E,空運業,運輸・物流,2,-2.68,5
