コード,RS,Industry RS
1301,27,14
130A,5,6
1332,77,14
1333,57,14
135A,96,8
1375,30,14
1376,34,14
1377,58,14
1379,37,14
137A,4,8
1380,36,14
1381,72,14
1382,18,14
1383,25,14
1384,70,14
138A,79,12
1401,78,66
1407,94,66
1414,31,66
1417,80,66
1418,74,66
1419,8,66
141A,42,12
1420,19,66
1429,22,66
142A,94,18
1430,26,66
1431,28,66
1433,18,66
1434,92,66
1435,41,32
1436,97,66
1438,35,66
143A,14,18
1443,42,66
1444,58,66
1446,20,66
1447,20,66
1450,38,66
145A,79,8
146A,57,32
147A,82,8
148A,27,8
1491,4,98
149A,46,8
150A,8,18
1514,9,90
1515,70,90
1518,76,30
151A,7,18
153A,97,8
155A,96,8
156A,45,18
157A,70,18
1605,89,90
160A,28,18
1662,70,90
1663,59,90
166A,83,32
167A,50,42
168A,59,30
1711,31,66
1716,29,66
1717,34,18
1718,67,66
1719,56,66
1720,61,66
1721,79,66
1723,92,66
1724,50,66
1726,76,66
1736,86,66
173A,21,8
1758,68,66
175A,20,8
1762,68,66
1764,22,66
1766,22,66
1768,53,66
1770,57,66
1773,64,66
1776,80,66
177A,4,60
1780,34,66
1783,67,32
1786,15,66
1787,40,66
1788,33,66
1793,76,66
1795,69,66
1798,70,66
1799,39,66
1801,70,66
1802,70,66
1803,70,66
1807,41,66
1808,64,66
1810,56,66
1811,92,66
1812,81,66
1813,46,66
1814,70,66
1815,84,66
1820,34,66
1822,19,66
1826,23,66
1827,83,66
1828,35,66
1833,61,66
1835,47,66
1840,34,66
1841,99,66
1844,93,66
1847,84,66
1848,67,66
184A,8,8
1850,70,66
1852,35,66
1853,43,66
1860,82,66
1861,63,66
1866,23,66
1867,60,66
186A,99,18
1870,44,66
1871,57,66
1873,21,66
1878,27,32
1879,77,66
1882,29,66
1885,70,66
1887,34,66
1888,13,66
1893,89,66
1897,55,66
1898,30,66
1899,80,66
189A,62,18
1904,71,66
1905,74,66
1909,97,78
190A,4,6
1911,16,66
1914,57,66
1921,74,66
1925,13,66
1926,77,66
1928,28,66
1929,30,66
192A,2,18
1930,74,66
1934,53,66
1938,80,66
1939,74,66
1941,76,66
1942,91,66
1944,87,66
1945,94,66
1946,91,66
1948,99,66
194A,70,18
1950,84,66
1951,78,66
1952,75,66
1959,85,66
195A,4,18
1960,89,66
1961,85,66
1963,94,66
1964,54,66
1965,87,66
1966,43,66
1967,64,66
1968,82,66
1969,75,66
196A,5,44
1972,35,66
1975,80,66
1976,54,66
1979,90,66
197A,25,6
1980,70,66
1981,24,66
1982,85,66
198A,1,8
1992,48,66
1994,52,66
1997,70,66
2001,52,20
2002,45,20
2003,26,20
2004,44,20
2009,64,20
202A,93,8
2053,49,20
2055,37,20
205A,87,66
2060,65,20
206A,3,6
208A,60,8
2108,87,20
2109,33,20
2112,69,20
2114,50,20
2117,48,20
211A,27,66
2120,57,18
2121,21,8
2122,71,18
2124,45,18
2127,40,18
212A,76,18
2130,24,18
2134,22,18
2136,59,18
2138,9,8
2139,50,18
2146,46,18
2148,6,18
2152,57,18
2153,28,18
2154,43,18
2156,10,18
2157,19,18
2158,21,18
215A,8,18
2160,17,6
2162,7,18
2163,40,18
2164,70,18
2168,7,18
2169,35,18
2170,42,18
2173,70,18
2175,80,18
2179,48,18
2180,96,18
2181,40,18
2183,6,18
2185,72,18
2186,44,18
218A,70,84
2193,7,18
2195,64,18
2196,23,18
2198,34,18
219A,4,6
2201,29,20
2204,30,20
2206,48,20
2207,80,20
2208,35,20
2209,19,20
220A,21,8
2211,31,20
2212,21,20
2215,50,20
2216,17,20
2217,19,20
2220,19,20
2221,28,20
2222,29,20
2224,37,20
2226,39,20
2229,32,20
2264,75,20
2266,16,20
2267,30,20
2268,42,20
2269,53,20
2270,65,20
2281,31,20
2282,55,20
2286,87,20
2288,61,20
228A,91,8
2291,3,20
2292,26,20
2293,27,20
2294,17,20
2296,28,20
2300,41,18
2301,20,18
2303,3,8
2304,54,18
2305,16,18
2307,24,8
2311,54,18
2315,35,8
2317,66,8
2321,70,8
2323,96,8
2325,71,18
2326,4,8
2327,18,8
2329,18,8
2330,4,8
2331,50,18
2332,81,8
2334,99,18
2335,30,8
2337,64,32
2338,20,8
2340,25,18
2341,44,18
2342,68,18
2344,95,18
2345,43,8
2349,42,8
2351,40,8
2353,36,32
2354,85,8
2359,50,8
2370,14,18
2371,97,18
2373,47,18
2375,17,18
2376,56,18
2378,24,18
2379,11,18
2384,87,24
2385,83,18
2388,4,44
2391,26,18
2393,58,18
2395,18,18
2404,61,18
2408,82,18
2410,80,18
2411,60,8
2413,30,18
2415,29,18
2418,22,18
241A,8,8
2424,35,18
2425,14,18
2428,21,18
2429,43,18
2432,29,8
2433,36,18
2435,54,18
2436,65,18
2437,33,18
2438,9,18
2440,3,18
2445,61,18
2449,56,18
244A,6,8
2454,33,18
2459,7,18
245A,16,12
2461,36,18
2462,34,18
2464,34,18
2469,52,18
246A,82,18
2471,12,18
2475,57,18
2477,5,8
2479,28,18
247A,4,60
2480,60,8
2481,26,18
2483,76,18
2484,4,8
2485,20,18
2488,82,18
2489,19,18
248A,8,8
2491,18,18
2492,37,18
2493,16,18
2497,17,18
2498,60,18
2499,18,18
2501,37,20
2502,11,20
2503,70,20
250A,17,20
2531,92,20
2533,49,20
253A,82,66
2540,75,20
254A,34,56
255A,97,84
256A,25,66
2573,73,20
2579,64,20
2585,81,20
2586,4,20
2587,21,20
2588,47,20
2590,31,20
2593,31,20
25935,38,20
2594,28,20
2597,60,20
2602,39,20
2607,52,20
2612,53,20
2613,38,20
261A,40,18
262A,19,12
264A,1,18
2652,53,12
2653,50,12
2654,59,12
2656,76,12
2659,49,12
265A,19,8
2664,61,12
2666,46,12
2667,13,42
2668,49,42
2669,70,12
2670,29,12
2673,5,12
2674,79,12
2676,33,42
2678,13,12
2681,78,12
2683,31,12
2685,62,12
2686,44,12
2687,22,18
2689,29,42
268A,98,84
2692,76,42
2693,95,42
2694,28,12
2695,28,12
2698,19,12
269A,19,8
2700,21,42
2702,66,12
2705,75,12
2708,37,42
2721,4,42
2722,24,12
2726,13,12
2730,69,12
2733,15,42
2734,33,12
2735,16,12
2736,51,12
2737,95,42
2742,9,12
2747,31,12
2749,22,18
274A,32,12
2750,69,42
2751,26,42
2752,36,12
2753,21,12
2760,75,42
2762,32,12
2763,24,42
2764,38,12
2767,19,42
2768,69,42
2769,10,12
276A,5,32
2776,15,42
2778,5,12
277A,78,18
2780,92,12
2782,57,12
2784,46,42
2788,46,42
2789,35,12
278A,99,84
2790,60,12
2791,3,12
2792,21,12
2795,48,42
2796,45,12
2798,38,12
2801,28,20
2802,79,20
2804,31,20
2805,91,20
2806,26,20
2809,62,20
280A,97,42
2810,71,20
2811,14,20
2813,50,20
2814,53,20
2815,15,20
2816,36,20
2818,33,20
2819,20,20
281A,97,8
2820,18,20
2831,45,20
285A,99,92
286A,4,18
2871,26,20
2872,34,20
2874,98,42
2875,49,20
2876,55,20
2877,37,20
287A,55,42
2882,27,20
2883,47,20
2884,4,20
288A,5,18
2892,73,20
2894,32,20
2897,11,20
2901,1,20
2903,70,20
2904,40,20
2907,51,20
2908,23,20
290A,82,8
2910,13,20
2911,32,20
2914,76,20
2915,31,20
2916,35,20
2917,34,20
2918,58,20
291A,2,18
2922,26,20
2923,38,20
2924,52,20
2926,57,20
2927,35,20
2929,14,20
2930,16,60
2931,15,20
2932,12,20
2933,31,20
2934,73,20
2935,55,20
2936,5,20
2937,59,20
2938,92,20
2961,70,38
2962,97,38
296A,70,18
2970,67,32
2975,81,32
2978,3,32
297A,17,12
2980,10,32
2981,82,32
2982,85,32
2983,70,32
2984,49,32
2986,68,32
298A,5,8
2991,43,32
2993,28,32
2997,60,32
2998,2,32
2999,71,32
299A,14,18
3001,42,48
3002,59,48
3003,39,32
3004,54,42
300A,78,18
3010,11,18
3011,55,12
3020,69,12
3021,53,18
3023,45,42
3024,27,42
3028,17,12
302A,25,18
3030,56,12
3031,20,8
3034,44,12
3035,75,42
3036,66,42
3038,3,42
303A,5,8
3040,86,8
3041,67,42
3042,35,8
3045,46,42
3046,84,12
3048,54,12
304A,20,8
3050,38,12
3053,28,12
3054,12,42
3058,37,12
3059,12,12
3063,76,12
3064,6,12
3065,31,12
3067,33,12
3068,24,12
3069,20,20
3070,9,42
3071,17,12
3075,38,12
3076,66,42
3077,96,12
3079,41,42
3080,37,12
3082,54,12
3083,83,12
3086,20,12
3087,24,12
3088,11,12
3089,81,42
3091,59,12
3092,7,12
3093,28,12
3096,66,12
3097,68,12
3099,81,12
3101,90,60
3103,99,48
3104,92,48
3105,95,92
3106,80,48
3107,81,42
3109,36,48
3110,99,80
3111,3,48
3113,27,56
3116,32,74
3121,13,18
3123,70,48
3131,80,42
3132,89,42
3133,1,12
3134,2,12
3135,58,12
3137,16,12
3138,70,12
3139,19,42
3140,39,42
3143,51,42
3148,37,12
3150,32,50
3151,76,42
3153,70,42
3154,25,42
3156,90,42
3157,64,42
3159,51,12
3160,31,42
3161,49,42
3166,35,42
3167,45,42
3168,94,42
3169,51,12
3172,39,12
3173,57,42
3174,6,12
3175,32,12
3176,40,42
3177,37,12
3178,12,12
3179,22,12
3180,18,42
3181,65,12
3182,31,12
3183,22,42
3184,73,12
3185,80,12
3186,89,12
3187,6,12
3189,1,12
3190,35,12
3191,52,12
3192,80,12
3193,15,12
3195,60,12
3196,9,12
3197,11,12
3198,36,12
3199,14,12
319A,98,38
3201,45,48
3202,70,48
3204,68,48
3205,12,48
3221,48,12
3222,13,12
3223,35,12
3224,28,12
3231,31,32
3232,34,32
3236,69,32
3237,16,32
3238,14,32
323A,6,8
3241,73,32
3242,59,32
3245,23,32
3246,35,32
3248,47,32
324A,3,18
3252,71,32
325A,39,48
3261,2,32
3266,23,32
3267,7,66
3271,83,32
3276,55,32
3277,50,32
3280,28,32
3284,34,32
3286,24,32
3288,68,32
3289,62,32
3291,32,32
3293,46,32
3294,99,32
3297,22,32
3299,8,32
3300,42,32
3302,70,48
3306,56,42
330A,1,8
3315,36,72
3317,28,12
331A,44,18
3320,65,42
3321,70,42
3323,19,42
3326,27,18
3329,27,12
332A,49,8
3333,27,12
3349,6,12
334A,79,8
3350,4,42
3352,61,12
3353,49,12
3355,55,42
3358,16,12
3359,58,42
335A,6,8
3360,46,42
3361,48,12
336A,52,8
3370,77,12
3371,9,8
3372,20,12
3374,84,42
3375,49,12
3377,22,42
3382,11,12
3386,48,42
3387,29,12
3388,54,42
338A,3,8
3391,13,12
3392,81,42
3393,70,42
3395,20,12
3396,40,12
3397,18,12
3399,49,12
339A,5,18
3401,72,48
3402,47,48
3405,18,60
3407,84,60
3409,4,48
340A,4,8
3415,61,12
3416,28,12
3417,63,42
3418,27,12
341A,20,66
3420,54,38
3421,41,38
3422,81,38
3423,45,38
3426,26,38
3431,15,38
3433,83,38
3434,52,38
3435,58,38
3436,99,38
3437,53,38
3439,53,38
343A,76,18
3440,35,38
3441,98,38
3443,24,38
3444,98,38
3445,98,38
3446,74,38
3447,54,38
3449,99,38
3452,48,32
3454,63,32
3457,11,32
3461,50,32
3465,61,32
3467,69,32
3469,18,32
3474,34,32
3475,47,32
3477,59,32
3479,7,32
3480,97,32
3482,29,32
3484,35,32
3486,14,32
3489,41,32
3490,52,32
3491,62,32
3494,19,32
3495,66,32
3496,48,32
3498,35,32
3501,19,48
350A,44,50
3512,87,48
3513,82,48
3521,30,18
3524,36,48
3529,35,48
352A,1,18
3536,41,12
3537,42,42
