Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
1436,Y,85.5,34.0,Y,48.1,41.8,2026-02-27,8
155A,Y,6.6,1.1,Y,37.1,35.6,2026-02-13,8
1711,Y,67.6,25.8,Y,31.4,16.3,2026-02-13,8
1860,Y,102.6,79.5,Y,20.9,19.7,2026-02-13,8
1909,Y,57.1,43.4,Y,14.6,12.4,2026-02-05,8
1945,Y,158.0,137.5,Y,21.0,12.3,2026-02-06,8
1963,Y,852.9,-8.8,Y,-6.2,-6.3,2026-02-10,8
1968,Y,-63.7,-74.0,Y,13.7,5.3,2026-02-06,8
1975,Y,46.2,35.8,Y,9.4,2.3,2026-02-12,8
2130,Y,660.4,0.0,Y,10.1,0.0,2026-02-04,8
2325,Y,3.2,1.6,Y,10.0,7.3,2026-02-13,8
2326,Y,8.2,0.4,Y,7.7,3.2,2026-01-30,8
2354,Y,36.7,-20.3,Y,2.0,-4.1,2025-12-23,8
268A,Y,-17.0,-52.9,Y,3.9,-4.9,2026-02-13,6
2693,Y,3792.3,-8.0,Y,12.2,-0.5,2026-02-13,8
2780,Y,-15.8,-65.5,Y,40.9,37.7,2026-02-13,8
2938,Y,-57.8,-84.8,Y,9.9,3.2,2026-02-13,8
2975,Y,33.8,29.7,Y,23.8,19.5,2026-01-13,8
3002,Y,-84.7,-111.4,Y,-3.0,-3.1,2026-02-05,8
3103,Y,143.6,64.6,Y,2.2,1.0,2026-02-06,8
3156,Y,-26.3,-59.2,Y,4.8,1.8,2026-02-12,8
3556,Y,163.1,123.0,Y,12.3,-10.8,2026-02-09,10
3656,Y,-16.9,-77.9,Y,-17.5,-18.6,2026-02-12,8
3723,Y,506.2,6.0,Y,150.5,3.5,2026-02-13,8
3891,Y,30.1,6.0,Y,14.0,13.8,2026-01-29,8
3905,Y,-9.6,-406.8,Y,673.3,28.5,2026-02-16,8
3932,Y,287.5,31.4,Y,2.1,-20.6,2026-02-09,8
3941,Y,14.3,-41.6,Y,2.3,0.4,2026-02-03,8
3994,Y,124.7,10.0,Y,24.7,19.0,2026-01-29,8
4043,Y,11.5,4.3,Y,-0.7,-1.1,2026-01-30,8
4047,Y,-7.7,-92.5,Y,0.2,-1.4,2026-02-13,8
4099,Y,0.9,-5.9,Y,1.7,-1.0,2026-01-29,8
4112,Y,-65.5,-75.8,Y,-7.5,-15.3,2026-02-13,8
4238,Y,-47.5,-53.1,Y,-8.5,-10.3,2025-12-08,8
4246,Y,71.2,21.9,Y,-1.3,-2.2,2026-02-12,8
4255,Y,350.0,173.2,Y,11.5,10.8,2026-02-13,9
4259,Y,233.3,190.2,Y,17.1,14.0,2026-02-12,8
4275,Y,58.3,23.4,Y,-1.5,-1.6,2026-02-10,8
4293,Y,-36.8,-41.7,Y,7.2,6.7,2026-02-12,8
4351,Y,43.5,-807.1,Y,-0.4,-19.1,2026-02-06,8
4417,Y,-30.3,-30.8,Y,24.1,23.8,2026-01-30,8
4419,Y,86.0,68.9,Y,40.3,29.4,2026-02-19,8
4420,Y,-31.8,-59.3,Y,1.9,-2.0,2026-02-13,8
4461,Y,105.4,70.6,Y,10.9,6.2,2026-01-28,8
4484,Y,28.2,-8.9,Y,15.2,10.2,2026-02-12,8
4503,Y,1126.5,100.8,Y,10.2,10.1,2026-02-04,8
4619,Y,25.4,22.7,Y,-6.7,-7.0,2026-02-12,8
4664,Y,-56.4,-69.8,Y,-13.1,-26.3,2026-02-12,8
4800,Y,2.3,-0.0,Y,37.9,19.5,2026-02-05,8
4886,Y,-4.8,-13.1,Y,9.1,8.9,2026-02-02,8
4960,Y,-0.3,-91.2,Y,-9.2,-14.1,2026-02-10,8
4973,Y,7.5,-24.2,Y,21.9,19.1,2026-01-27,8
5018,Y,43.4,-12.1,Y,-1.3,-1.4,2026-01-28,8
5019,Y,-54.5,-59.6,Y,-13.6,-15.5,2026-02-10,8
5192,Y,-31.6,-36.0,Y,1.6,0.9,2026-02-09,8
5218,Y,10.4,-3.7,Y,3.5,1.1,2025-12-11,8
5290,Y,53.0,-49.2,Y,9.2,-2.0,2026-02-12,8
5367,Y,21.4,20.6,Y,10.4,7.9,2026-02-02,8
5423,Y,-41.5,-51.0,Y,-20.8,-23.2,2026-01-23,8
5463,Y,-46.8,-49.3,Y,-7.9,-9.7,2026-02-09,8
5532,Y,127.0,-27.7,Y,40.3,23.2,2026-01-27,8
5714,Y,-22.0,-33.6,Y,-3.6,-10.0,2026-02-10,8
5741,Y,-73.4,-88.2,Y,14.0,10.9,2026-02-12,8
