Ticker,Name,Industry,Sector,Type,HVdate,HVE_in_win,HVdays,Volume,RelVol(x50d),Gap%,CloseRange%,HVC,CloseOnDay,LastClose,SinceHV%,Turnover(M)
1945,東京エネシス,建設業,建設・資材,HVE,2026-05-13,Y,1,2066100,6.2,17.30,86,Y,2479.00,2450.00,-1.17,1000
4392,ＦＩＧ,情報･通信業,情報通信・サービスその他,HVE,2026-05-12,Y,1,28146000,117.0,68.76,97,Y,870.00,1781.00,104.71,14108
6480,日本トムソン,機械,機械,HVE,2026-05-12,Y,1,4300500,8.3,26.14,100,Y,1930.00,2282.00,18.24,2498
6838,多摩川ホールディングス,電気機器,電機・精密,HVE,2026-03-18,Y,1,3999400,23.7,15.41,100,Y,1669.00,2087.00,25.04,1082
6994,指月電機製作所,電気機器,電機・精密,HV1,2026-05-29,,1,2036700,5.1,11.95,83,Y,1315.00,1315.00,0.00,633
3687,フィックスターズ,情報･通信業,情報通信・サービスその他,HV1,2026-05-22,,1,3259100,5.3,10.19,100,Y,1970.00,2704.00,37.26,3469
4208,ＵＢＥ,化学,素材・化学,HV1,2026-05-20,,1,7261500,8.3,12.45,100,Y,2890.50,2952.50,2.14,4074
4543,テルモ,精密機器,電機・精密,HV1,2026-05-18,,1,16185000,2.9,14.41,99,Y,2279.00,2401.00,5.35,14682
5989,エイチワン,金属製品,建設・資材,HV1,2026-05-15,,1,1245900,5.6,11.37,97,Y,1586.00,1788.00,12.74,385
1909,日本ドライケミカル,機械,機械,HV1,2026-05-14,,1,1839600,8.5,23.14,100,Y,3725.00,3740.00,0.40,1844
6339,新東工業,機械,機械,HV1,2026-05-14,,1,557000,3.8,14.92,100,Y,1142.00,1282.00,12.26,208
4272,日本化薬,化学,素材・化学,HV1,2026-05-13,,1,2248400,5.5,16.29,100,Y,2180.50,2132.50,-2.20,1277
7419,ノジマ,小売業,小売,HV1,2026-04-21,,1,7722700,13.5,10.53,81,Y,1280.00,1433.00,11.95,2170
3994,マネーフォワード,情報･通信業,情報通信・サービスその他,HV1,2026-04-15,,1,3593300,2.9,14.44,100,Y,4577.00,4343.00,-5.11,3291
3046,ジンズホールディングス,小売業,小売,HV1,2026-04-13,,1,1460400,7.3,13.04,100,Y,6370.00,8260.00,29.67,1968
4565,ネクセラファーマ,医薬品,医薬品,HV1,2026-04-01,,1,6730900,9.4,13.76,89,Y,1015.00,1067.00,5.12,1243
4840,トライアイズ,サービス業,情報通信・サービスその他,HV1,2026-03-27,,2,1536200,62.9,15.47,100,Y,617.00,978.00,58.51,111
